ZPPG id,Longitude,Latitude,Shortitude,Deltitude,Strange Smell?,Air Tastes Like,Feng Shui of Surrounding Area,Weird Sounds,Local Value of Pi,Murphy's Constant,ZPPG Performance
0,123.992,-24.25,-69.918,-42.284,Somewhat,Mint,Adequate,"['Otherworldly Skittering', 'Impossible Humming']",3.1366,5.92,1.61%
1,36.685,58.149,-25.797,38.86,Somewhat,Mint,Adequate,['Eerie Silence'],3.1458,4.83,44.59%
2,79.094,42.601,-31.9,-51.332,No,Burning,Adequate,['Otherworldly Skittering'],3.1442,5.25,44.29%
3,-71.479,48.491,35.11,-8.96,Somewhat,Apples,Exceptional,['Otherworldly Skittering'],3.135,5.89,8.23%
4,64.341,59.544,13.15,-15.239,Somewhat,Mint,Adequate,['Eerie Silence'],3.162,3.97,56.41%
5,150.099,22.222,46.602,-38.144,No,Mint,Disharmonious,['Otherworldly Skittering'],3.1467,1.88,44.73%
6,-163.716,33.798,72.61,32.179,Somewhat,Apples,Adequate,['Unnatural Buzzing'],3.1684,3.64,14.88%
7,64.565,35.269,19.609,-52.812,Somewhat,Mint,Adequate,"['Unearthly Squelching', 'Unnatural Buzzing']",3.1269,5.43,5.45%
8,25.117,27.51,8.613,22.496,No,Mint,Adequate,['Impossible Humming'],3.1361,3.41,11.55%
9,-51.425,-19.496,57.634,39.574,Somewhat,Apples,Adequate,['Unnatural Buzzing'],3.1267,5.68,4.95%
10,77.623,-43.166,20.055,83.392,Somewhat,Copper,Adequate,['Unnatural Buzzing'],3.137,5.23,21.60%
11,75.242,56.686,50.386,-40.161,Somewhat,Nothing In Particular,Disharmonious,['Unnatural Buzzing'],3.1682,4.87,11.91%
12,47.912,64.086,-5.384,-10.614,Somewhat,Apples,Adequate,['Unearthly Squelching'],3.1329,3.65,20.79%
13,67.874,-55.463,-18.427,31.109,Somewhat,Nothing In Particular,Disharmonious,['Unnatural Buzzing'],3.1496,1.67,27.32%
14,65.159,-34.568,11.751,-18.93,Somewhat,Mint,Adequate,['Unnatural Buzzing'],3.1172,2.03,25.62%
15,100.59,-70.782,-56.824,44.604,Somewhat,Apples,Adequate,['Eerie Silence'],3.1421,5.01,27.36%
16,21.899,-38.408,-19.29,60.06,Somewhat,Mint,Disharmonious,['Eerie Silence'],3.1409,5.85,12.91%
17,-149.519,24.7,43.334,-42.863,Somewhat,Nothing In Particular,Adequate,['Otherworldly Skittering'],3.1642,1,17.98%
18,115.913,18.499,-14.858,24.558,No,Nothing In Particular,Adequate,['Eerie Silence'],3.1299,2.79,25.13%
19,-142.291,-32.683,-58.033,-30.567,Somewhat,Nothing In Particular,Adequate,['Eerie Silence'],3.1598,3.53,16.13%
20,-65.427,46.742,17.005,-19.194,Somewhat,Apples,Disharmonious,"['Otherworldly Skittering', 'Impossible Humming']",3.1432,4.31,6.12%
